,Position,Track Name,Artist,Streams
917,31,Summer Games,Drake,17119220
918,33,Ocean (feat. Khalid),Martin Garrix,15871118
919,34,Blue Tint,Drake,15573446
920,35,Jaded,Drake,15159136
921,36,Peak,Drake,15117184
922,37,Is There More,Drake,14967758
923,38,Finesse,Drake,14514123
924,39,That’s How You Feel,Drake,14357593
925,40,After Dark,Drake,14263999
926,44,Born To Be Yours,Kygo,12701709
927,46,Ratchet Happy Birthday,Drake,12370043
928,47,Bed (feat. Ariana Grande),Nicki Minaj,12252624
929,53,APESHIT,The Carters,10959287
930,54,March 14,Drake,10659186
931,55,Final Fantasy,Drake,10460366
932,77,No Es Justo,J Balvin,8017164
933,86,Clandestino,Shakira,7116722
934,91,Hope,XXXTENTACION,6766718
935,93,Live It Up - Official Song 2018 FIFA World Cup Russia,Nicky Jam,6699032
936,97,X - Remix,Nicky Jam,6645232
937,102,High Hopes,Panic! At The Disco,6225405
938,103,Estamos Bien,Bad Bunny,6171332
939,107,DDU-DU DDU-DU - KR Ver.,BLACKPINK,6003427
940,108,Boo'd Up,Ella Mai,5974868
941,116,Vaina Loca,Ozuna,5832230
942,127,I'm a Mess,Bebe Rexha,5316167
943,132,Wake Me Up,Avicii,5094205
944,137,Shotgun,George Ezra,4902479
945,140,Like To Be You feat. Julia Michaels,Shawn Mendes,4801036
946,146,Enemies,Lauv,4702633
947,148,Asesina,Brytiago,4699052
948,156,ocean eyes,Billie Eilish,4505905
949,163,Dance To This (feat. Ariana Grande),Troye Sivan,4361017
950,169,Bigger Than You (feat. Drake & Quavo),2 Chainz,4281023
951,173,Better Not (feat. Wafia),Louis The Child,4211691
952,177,"Big Bank feat. 2 Chainz, Big Sean, Nicki Minaj",YG,4162724
953,181,Simple,Florida Georgia Line,4103927
954,194,Guatemala - From Swaecation,Rae Sremmurd,3966954
955,2,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,31741382
956,4,No Brainer,DJ Khaled,26590758
957,9,God is a woman,Ariana Grande,22382886
958,13,Eastside (with Halsey & Khalid),benny blanco,20234973
959,18,Don’t Matter To Me (with Michael Jackson),Drake,16158645
960,21,In My Mind,Dynoro,15098436
961,26,Back To You - From 13 Reasons Why – Season 2 Soundtrack,Selena Gomez,13600148
962,50,Happy Now,Zedd,8932854
963,53,Summertime Magic,Childish Gambino,8436793
964,56,SWISH,Tyga,7970077
965,58,Natural,Imagine Dragons,7955358
966,63,you should see me in a crown,Billie Eilish,7712358
967,66,One Day (feat. Ryan Tedder),Logic,7421692
968,76,Mi Cama - Remix,Karol G,6601932
969,77,Don't Leave Me Alone (feat. Anne-Marie),David Guetta,6599011
970,80,Wasted (feat. Lil Uzi Vert),Juice WRLD,6430332
971,82,Only You (with Little Mix),Cheat Codes,6367797
972,91,Be Alright,Dean Lewis,6131797
973,97,Calypso,Luis Fonsi,5833656
974,101,Connection,OneRepublic,5680485
975,105,Side Effects (feat. Emily Warren),The Chainsmokers,5459269
976,108,No Me Acuerdo,Thalía,5404977
977,111,Darkside,Alan Walker,5229016
978,136,Hopeless Romantic (feat. Swae Lee),Wiz Khalifa,4628829
979,141,TELÉFONO,Aitana,4436815
980,144,I Might Need Security,Chance the Rapper,4379977
981,150,Medicina,Anitta,4303105
982,153,No Quiero Amarte (feat. Zion & Lennox),Justin Quiles,4224484
983,154,Toda - Remix,Alex Rose,4215702
984,155,Lie,NF,4208622
985,167,Let Me Down Slowly,Alec Benjamin,4062896
986,178,Let Me Live (feat. Anne-Marie & Mr Eazi),Rudimental,3851171
987,179,Hipócrita,Anuel Aa,3850951
988,180,Fr Fr (feat. Lil Skies),Wiz Khalifa,3845478
989,189,Bohemian Rhapsody - Remastered 2011,Queen,3778619
990,193,Don't Stop Believin',Journey,3752576
991,200,Whenever (feat. Conor Maynard),Kris Kross Amsterdam,3690390
992,5,SICKO MODE,Travis Scott,22881136
993,10,breathin,Ariana Grande,20258393
994,13,Promises (with Sam Smith),Calvin Harris,18917996
995,19,Body (feat. brando),Loud Luxury,16136787
996,30,Beautiful (feat. Camila Cabello),Bazzi,12052133
997,33,STARGAZING,Travis Scott,11688441
998,50,IDOL,BTS,8513435
999,52,everytime,Ariana Grande,8364263
1000,60,Cuando Te Besé,Becky G,7367664
1001,62,sweetener,Ariana Grande,7225329
1002,69,Mala Mía,Maluma,6976754
1003,78,Thunderclouds,Sia,6723267
1004,84,Lean Wit Me,Juice WRLD,6354225
1005,85,YOSEMITE,Travis Scott,6342693
1006,92,Taking A Walk,Trippie Redd,6082869
1007,94,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",YG,6058619
1008,95,High On Life (feat. Bonn),Martin Garrix,5940166
1009,101,Tie Me Down (with Elley Duhé),Gryffin,5596623
1010,102,Mo Bamba,Sheck Wes,5550436
1011,109,WORKIN ME,Quavo,5402033
1012,110,Goodbye (feat. Nicki Minaj & Willy William),Jason Derulo,5361247
1013,111,Me Dijeron,Ozuna,5282640
1014,113,Quiere Beber,Anuel Aa,5154461
1015,119,Euphoria,BTS,5032951
1016,122,R.E.M,Ariana Grande,4953211
1017,127,Risiko,Bonez MC,4811649
1018,132,goodnight n go,Ariana Grande,4631994
1019,133,Ibiza,Ozuna,4624759
1020,137,I'm Fine,BTS,4584909
1021,139,Celoso,Lele Pons,4570386
1022,141,Barbie Dreams,Nicki Minaj,4541574
1023,142,WAKE UP,Travis Scott,4531547
1024,147,pete davidson,Ariana Grande,4427085
1025,149,Blah Blah Blah,Armin van Buuren,4391830
1026,158,The Return,Logic,4289914
1027,160,Aura,Ozuna,4275939
1028,161,Chanel (Go Get It) [feat. Gunna & Lil Baby],Young Thug,4274274
1029,162,Chica Paranormal,Paulo Londra,4265910
1030,172,Trivia 轉 : Seesaw,BTS,4147512
1031,173,Culpables,Manuel Turizo,4131944
1032,175,CAROUSEL,Travis Scott,4071572
1033,178,Melodien (feat. Juju),Capital Bra,4032606
